country,immigration_flow
Afghanistan,82620
Albania,5615
Algeria,40685
American Samoa,0
Andorra,0
Angola,950
Antigua and Barbuda,720
Argentina,3185
Armenia,2075
Australia,16150
Austria,910
Azerbaijan,2525
"Bahamas, The",2190
Bahrain,130
Bangladesh,34580
Barbados,1985
Belarus,2300
Belgium,4795
Belize,480
Benin,4345
Bermuda,0
Bhutan,630
Bolivia,1165
Bosnia and Herzegovina,975
Botswana,400
Brazil,51110
British Virgin Islands,0
Brunei Darussalam,5
Bulgaria,2020
Burkina Faso,3255
Burundi,10995
Cabo Verde,10
Cambodia,1950
Cameroon,54925
Canada,10615
Central African Republic,3100
Chad,1725
Chile,4945
China,286970
Colombia,34265
Comoros,20
"Congo, Dem. Rep.",26825
"Congo, Rep.",1925
Costa Rica,1720
Cote d'Ivoire,18895
Croatia,3595
Cuba,8040
Curacao,0
Cyprus,45
Czechia,2805
Denmark,690
Djibouti,2515
Dominica,195
Dominican Republic,7020
Ecuador,3950
"Egypt, Arab Rep.",30030
El Salvador,6490
Equatorial Guinea,0
Eritrea,67215
Estonia,160
Ethiopia,23660
Fiji,1250
Finland,815
France,81430
French Polynesia,0
Gabon,480
"Gambia, The",570
Georgia,1755
Germany,11635
Ghana,9565
Greece,3600
Grenada,885
Guatemala,2410
Guinea,3970
Guinea-Bissau,0
Guyana,4310
Haiti,28010
Honduras,3780
"Hong Kong SAR, China",24780
Hungary,5975
Iceland,95
India,842390
Indonesia,4760
"Iran, Islamic Rep.",82460
Iraq,33030
Ireland,16290
Israel,14175
Italy,11140
Jamaica,37040
Japan,10095
Jordan,9960
Kazakhstan,3925
Kenya,6705
Kiribati,0
"Korea, Dem. People's Rep.",15
"Korea, Rep.",49565
Kosovo,1665
Kuwait,130
Kyrgyz Republic,1195
Lao PDR,25
Latvia,745
Lebanon,24940
Lesotho,0
Liberia,745
Libya,4890
Liechtenstein,0
Lithuania,1055
Luxembourg,10
"Macao SAR, China",80
Madagascar,2270
Malawi,145
Malaysia,3525
Maldives,0
Mali,2865
Malta,10
Marshall Islands,0
Mauritania,715
Mauritius,8355
Mexico,41480
Moldova,4260
Monaco,0
Mongolia,870
Montenegro,50
Morocco,39235
Mozambique,15
Myanmar,2350
Namibia,790
Nauru,0
Nepal,12990
Netherlands,4655
New Caledonia,0
New Zealand,4700
Nicaragua,1770
Niger,660
Nigeria,119400
North Macedonia,860
Northern Mariana Islands,0
Norway,475
Oman,15
Pakistan,100695
Palau,0
Panama,515
Papua New Guinea,10
Paraguay,390
Peru,5750
Philippines,306810
Poland,7375
Portugal,8150
Puerto Rico,0
Qatar,5
Romania,7285
Russian Federation,19800
Rwanda,6360
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,2500
Senegal,6790
Serbia,3955
Seychelles,0
Sierra Leone,575
Singapore,2720
Sint Maarten (Dutch part),0
Slovak Republic,2485
Slovenia,155
Solomon Islands,20
Somalia,26345
South Africa,15290
South Sudan,2160
Spain,6540
Sri Lanka,22230
St. Lucia,2655
St. Vincent and the Grenadines,3195
Sudan,11300
Suriname,15
Sweden,1990
Switzerland,2195
Syrian Arab Republic,115160
Tajikistan,320
Tanzania,2065
Thailand,4710
Timor-Leste,0
Togo,4375
Tonga,0
Trinidad and Tobago,4475
Tunisia,25840
Turkiye,21520
Turkmenistan,105
Turks and Caicos Islands,0
Tuvalu,0
Uganda,4380
Ukraine,33470
United Arab Emirates,50
United Kingdom,51375
United States,95655
Uruguay,335
Uzbekistan,1565
Vanuatu,0
"Venezuela, RB",15875
Viet Nam,41975
West Bank and Gaza,6025
"Yemen, Rep.",6030
Zambia,620
Zimbabwe,4705
